"YearStart","YearEnd","LocationAbbr","State","Datasource","Class","Topic","Question","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Alt","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Total","Gender","Grade","Race.Ethnicity","GeoLocation","ClassID","TopicID","QuestionID","DataValueTypeID","LocationID","StratificationCategory1","Stratification1","StratificationCategoryId1","StratificationID1","FID","Prevalence_in_the_States","SHAPE_Length","SHAPE_Area","prevalence_scale","amount_of_students"
2015,2015,"ME","Maine","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have obesity",NA,"Value",14.5,14.5,"","",10.5,19.7,374,"","","","Hispanic","(45.254228894001, -68.985031336)","OWS","OWS1","Q038","VALUE",23,"Race/Ethnicity","Hispanic","RACE","RACEHIS",41,30,5560035.36660915,990384869184.921,"Medium",54.23
2015,2015,"MT","Montana","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have obesity",NA,"Value",10.5,10.5,"","",8.4,13,1131,"","","10th","","(47.066528972, -109.424420645)","OWS","OWS1","Q038","VALUE",30,"Grade","10th","GRADE","GRADE10",15,23.6,9745471.75354953,4371466366614.52,"Low",118.755
2015,2015,"KY","Kentucky","Youth Risk Behavior Surveillance System","Sugar Drinks","Sugar Drinks - Behavior","Percent of students in grades 9-12 who drank regular soda/pop at least one time per day",NA,"Value",28.5,28.5,"","",23.6,34,814,"","","9th","","(37.645970271, -84.774971048)","SD","SD1","Q058","VALUE",21,"Grade","9th","GRADE","GRADE09",3,34.6,6346698.58704225,1128830286256.75,"Medium",231.99
2015,2015,"WV","West Virginia","Youth Risk Behavior Surveillance System","Sugar Drinks","Sugar Drinks - Behavior","Percent of students in grades 9-12 who drank regular soda/pop at least one time per day",NA,"Value",26.4,26.4,"","",22.9,30.2,800,"","Female","","","(38.665510202, -80.712640135)","SD","SD1","Q058","VALUE",54,"Gender","Female","GEN","FEMALE",31,35.6,5374279.69717876,685167361615.589,"Medium",211.2
2015,2015,"NV","Nevada","Youth Risk Behavior Surveillance System","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of students in grades 9-12 who consume vegetables less than 1 time daily",NA,"Value",39.7,39.7,"","",35.5,44,673,"","Male","","","(39.49324039, -117.071840564)","FV","FV1","Q021","VALUE",32,"Gender","Male","GEN","MALE",34,26.7,8240794.81048687,3564354191161.93,"Low",267.181
2015,2015,"MS","Mississippi","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have obesity",NA,"Value",21.7,21.7,"","",18.6,25.2,962,"","Male","","","(32.745510099, -89.538030825)","OWS","OWS1","Q038","VALUE",28,"Gender","Male","GEN","MALE",25,35.6,5834201.76787132,1327853198175.37,"Medium",208.754
2015,2015,"CT","Connecticut","Youth Risk Behavior Surveillance System","Sugar Drinks","Sugar Drinks - Behavior","Percent of students in grades 9-12 who drank regular soda/pop at least one time per day",NA,"Value",13.4,13.4,"","",10.5,17,498,"","","","Hispanic","(41.56266102, -72.649840952)","SD","SD1","Q058","VALUE",9,"Race/Ethnicity","Hispanic","RACE","RACEHIS",35,25.3,1780630.95573379,145421898735.938,"Low",66.732
2015,2015,"AK","Alaska","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have obesity",NA,"Value",10.9,10.9,"","",8.4,14.1,666,"","Female","","","(64.845079957001, -147.722059036)","OWS","OWS1","Q038","VALUE",2,"Gender","Female","GEN","FEMALE",14,29.8,6663726.59054098,530113882116.939,"Low",72.594
2015,2015,"WY","Wyoming","Youth Risk Behavior Surveillance System","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of students in grades 9-12 who consume fruit less than 1 time daily",NA,"Value",38.4,38.4,"","",34.9,41.9,1168,"","Male","","","(43.235541343, -108.109830353)","FV","FV1","Q020","VALUE",56,"Gender","Male","GEN","MALE",30,29,6860971.19013795,2897400399041.46,"Low",448.512
2015,2015,"RI","Rhode Island","Youth Risk Behavior Surveillance System","Physical Activity","Physical Activity - Behavior","Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily",NA,"Value",20.1,20.1,"","",15.5,25.7,315,"","","","Non-Hispanic Black","(41.708280193, -71.522470314)","PA","PA1","Q048","VALUE",44,"Race/Ethnicity","Non-Hispanic Black","RACE","RACEBLK",37,26,984524.581180468,36178076477.7396,"Low",63.315
